날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2020-03-18,30.959,34.563,34.073,11.763,2.561,2.314,0.952,0.896,2.444,1.257,5.153,10.944,16.861,28.301,31.66,42.639,45.779,54.527,51.474,53.893,68.82,63.865,62.019,69.503
2020-03-19,91.607,80.827,88.264,86.952,83.347,95.006,103.636,105.154,77.606,93.548,118.485,117.441,152.821,116.493,80.287,87.372,154.346,227.311,212.669,194.47,195.449,180.098,185.084,181.841
2020-03-20,182.419,179.262,146.93,101.238,65.9,48.539,33.114,14.174,5.943,3.19,5.215,9.336,14.316,14.776,16.547,19.319,18.46,18.943,12.175,30.663,43.215,57.589,110.897,118.399
2020-03-21,136.656,143.85,117.624,66.974,41.764,25.158,14.324,15.856,19.786,26.273,20.097,26.341,35.301,44.769,44.692,48.017,48.692,44.71,72.146,93.874,79.375,88.38,66.561,75.74
2020-03-22,89.426,76.685,52.511,16.54,6.048,12.54,12.818,4.725,6.884,8.9,22.626,23.864,20.976,14.997,28.762,55.972,78.449,113.021,121.883,172.894,169.744,161.287,181.559,169.994
2020-03-23,174.787,166.259,168.794,164.915,159.082,158.492,139.846,108.807,77.529,65.29,48.063,41.362,49.265,55.986,81.346,124.274,134.496,124.753,122.955,142.416,143.292,148.676,139.406,129.025
2020-03-24,109.8,98.987,111.073,102.529,113.823,110.998,110.356,74.616,39.043,17.252,12.096,19.083,16.87,19.369,19.791,21.602,13.538,9.325,4.396,2.731,3.739,5.648,8.388,3.549
2020-03-25,2.675,5.183,5.255,6.955,10.956,17.572,30.568,26.104,36.315,48.739,39.502,83.095,72.038,66.417,74.077,75.122,69.723,62.306,45.071,33.264,18.764,21.331,26.829,60.145
2020-03-26,75.947,59.847,50.735,27.651,42.118,56.14,82.71,87.134,104.198,115.858,161.557,160.537,112.464,102.045,137.7,53.885,32.643,33.095,36.132,31.606,43.224,78.476,85.917,86.313
2020-03-27,72.61,72.64,51.659,37.626,11.299,27.938,47.986,54.138,111.862,147.669,143.031,203.979,230.167,230.109,244.593,234.551,235.863,235.811,235.463,243.692,246.75,239.701,234.247,229.23
2020-03-28,229.953,222.269,221.88,226.928,214.485,196.181,172.621,162.906,160.007,157.891,121.576,88.368,61.698,20.019,64.484,110.478,87.346,107.45,137.542,141.602,125.322,103.1,80.491,88.477
2020-03-29,79.191,76.243,59.854,51.275,55.42,38.875,29.75,31.492,32.122,27.777,21.482,19.421,16.493,20.63,26.164,10.75,13.489,15.73,3.274,7.383,13.75,8.199,5.537,3.491
2020-03-30,12.515,10.208,5.221,5.093,13.009,16.404,19.694,24.343,37.785,44.602,45.164,53.652,52.793,47.423,52.142,58.102,47.593,27.947,23.473,21.669,26.766,31.633,22.5,36.051
2020-03-31,37.686,48.918,57.066,56.678,48.554,51.519,40.241,40.374,41.31,57.933,75.296,66.263,62.426,61.037,47.943,30.197,26.927,11.905,3.11,3.967,17.014,58.93,52.555,70.827
2020-04-01,86.496,142.384,164.996,190.824,192.481,204.812,220.902,204.639,174.368,203.792,204.26,159.061,112.213,119,138.515,178.515,227.347,233.58,215.689,189.503,188.465,206.069,236.665,229.116
2020-04-02,209.331,176.698,184.986,172.087,177.46,138.804,104.169,76.026,73.814,49.125,32.079,25.152,31.003,20.217,11.742,6.307,1.8,1.589,2.308,1.542,3.791,10.29,15.531,28.732
2020-04-03,27.702,29.937,30.912,66.672,102.893,77.302,57.2,77.64,45.705,62.661,46.526,25.447,23.533,26.022,29.018,30.647,39.041,49.131,60.008,90.226,114.964,110.375,96.854,86.116
2020-04-04,71.345,67.626,96.085,98.584,101.699,132.328,138.839,125.5,87.529,96.398,87.609,46.364,41.45,41.777,50.895,97.48,154.162,191.823,226.727,246.573,245.488,240.573,236.893,236.599
2020-04-05,235.845,235.021,229.814,226.462,205.861,195.06,173.328,149.135,146.327,90.479,57.093,40.191,27.232,31.164,32.838,57.923,92.736,112.764,119.967,129.071,114.522,120.176,144.452,138.165
2020-04-06,124.118,106.875,88.143,75.299,68.768,61.839,69.036,48.925,39.925,37.716,27.331,25.957,27.067,28.129,19.787,10.734,7.762,6.368,10.472,24.821,46.829,86.022,78.909,82.781
2020-04-07,82.292,69.113,82.418,127.762,121.606,119.772,104.406,89.408,102.213,88.935,68.733,58.754,69.633,75.179,94.158,100.206,86.595,50.449,36.523,32.912,40.382,53.876,56.276,57.863
2020-04-08,68.202,74.438,79.941,66.154,77.141,107.059,131.28,130.496,123.715,118.049,114.292,109.434,75.522,73.697,75.367,64.143,86.543,90.867,99.523,113.636,109.359,103.775,100.23,117.34
2020-04-09,116.841,118.041,105.152,85.937,66.934,74.802,88.887,69.063,74.547,77.27,76.578,54.398,58.715,60.105,52.409,76.29,65.562,50.347,46.671,39.909,47.272,72.845,113.308,135.772
2020-04-10,115.609,87.354,68.127,109.397,132.48,67.957,89.892,63.1,37.416,14.233,22.58,37.447,23.467,35.477,27.768,20.762,16.307,13.126,5.101,6.849,18.752,12.172,8.308,3.707
2020-04-11,2.934,3.174,1.379,7.564,3.032,3.7,6.203,4.375,4.744,22.426,24.228,26.169,28.334,28.811,32.605,56.839,62.489,83.362,95.551,105.332,105.342,102.343,82.907,71.684
